DEPARTAMENTO,CIUDAD,NOMBRE CONCESIONARIO,NOMBRE EMISORA,CODIGO EMISORA,DISTINTIVO,FRECUENCIA,BANDA,"CLASE DE
EMISORA"
ANTIOQUIA,ARBOLETES,ASOCIACIÓN TURISTICA Y SOCIAL DE ARBOLETES,CORAL F.M STEREO,52198,HKA41,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SANTA BARBARA,CORPORACIÓN ECOS DE SANTA BARBARA,CORDIAL ESTEREO,52234,HKB42,101.1 MHz,FM,COMUNITARIA
ANTIOQUIA,YARUMAL,CORPORACIÓN CERRO AZUL FM STEREO DE YARUMAL,CORPORACIÓN CERRO AZUL ESTEREO,52247,HKB66,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,VALDIVIA,CORPORACIÓN AMIGOS POR VALDIVIA - COAVA,DIGITAL STEREO,53415,HKB60,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SANTO DOMINGO,ASOCIACIÓN COMUNITARIA DOMINICANA,DOMINICANA STEREO 107.4 FM,52735,HKB51,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN JUAN DE URABA,FUNDACIÓN CRISTIANA NUEVA ESPERANZA PARA EL DESARROLLO INTEGRAL DE SAN JUAN DE URABA - FUNDIPAZ,EMISORA OLA ESTEREO,53254,HKB46,107.9 MHz,FM,COMUNITARIA
ANTIOQUIA,TÁMESIS,SISTEMA COMUNITARIO DE MEDIOS DE COMUNICACIÓN DE TAMESIS,EMISORA TAMESIS ESTÉREO 107.4 F.M,53229,HKB52,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,LA PINTADA, CORPORACIÓN ECOLOGICA Y RADIAL FARALLONES DEL MUNICIPIO DE LA PINTADA ANTIOQUIA - CERFAR,FARALLONES DIGITAL STEREO,53413,HJJ28,95.4 MHz,FM,COMUNITARIA
ANTIOQUIA,MEDELLÍN,CORPORACIÓN RADIAL DE PRADO PARA LA COMUNICACIÓN Y EL DESARROLLO COMUNITARIO,FRECUENCIA ESTEREO 88.4 F.M. - ÁREA DE SERVICIO No. 3,53409,HJU60,88.4 MHz,FM,COMUNITARIA
ANTIOQUIA,MARINILLA,CORPORACIÓN PARA LA COMUNICACIÓN LA CULTURA Y EL DESARROLLO DEL ORIENTE,GALACTICA ESTEREO 107.4 FM,52221,HKA93,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN JERÓNIMO,CORPORACIÓN  ECOFANS AMIGOS DE LA ECOLOGIA,GLOBAL FM 89.4,52731,HKB36,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,HELICONIA,CORPORACIÓN LA VOZ DE GUACA,GUACA ESTEREO,52218,HKA84,95.4 MHz,FM,COMUNITARIA
ANTIOQUIA,GUARNE,CORPORACIÓN PROYECCION SOCIAL PARA LA CULTURA. LA EDUACION. EL ARTE Y LAS COMUNICACIÓNES,GUARNE STEREO 88.1 FM,52216,HKA82,88.1 MHz,FM,COMUNITARIA
ANTIOQUIA,YONDÓ,ASOCIACIÓN FEMENINA INTEGRAL COMUNITARIA - AFIC,IMPACTO STEREO 107.4 FMT,53111,HKB68,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN CARLOS,ASOCIACIÓN COMUNITARIA AMIGOS POR LA PAZ DE SAN CARLOS,JUVENTUD STEREO,52229,HKB34,88.5 MHz,FM,COMUNITARIA
ANTIOQUIA,MEDELLÍN,ASOCIACIÓN PALCO PROFESIONALES AL SERVICIO DE LA COMUNICACIÓN,LA ESQUINA RADIO 101.4 FM - ÁREA DE SERVICIO No. 4,53410,HJU61,101.4 MHz,FM,COMUNITARIA
ANTIOQUIA,URRAO,ASOCIACIÓN DE MUJERES URRAEÑAS,LA MOVIDA STEREO 89.4FM,54259,HKB59,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,AMAGA,CORPORACIÓN CAFE Y CARBON DE AMAGA ANTIOQUIA,LA VOZ DE AMAGA,52195,HKA32,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,DON MATIAS,PARROQUÍA DE DONMATIAS,LA VOZ DE DONMATIAS,52724,HKA70,95.4 MHz,FM,COMUNITARIA
ANTIOQUIA,ITUANGO,JUNTA DE ACCIÓN COMUNAL CENTRAL URBANA DE ITUANGO,LA VOZ DE ITUANGO,52219,HKA86,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,CORPORACIÓN RADIO SAN PEDRO DE LOS MILAGROS,LA VOZ DE SAN PEDRO,52732,HKB38,88.4 MHz,FM,COMUNITARIA
ANTIOQUIA,CARACOLÍ,ASOCIACIÓN COMUNITARIA PARA EL PROGRESO DEL MUNICIPIO DE CARACOLI,LA VOZ GABRIELISTA,53235,HJA57,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,CALDAS,CORPORACIÓN SOCIAL CULTURAL Y AMBIENTAL CYNTHIA,LLUVIA95.4 F.M.,54222,HKA54,95.4 MHz,FM,COMUNITARIA
ANTIOQUIA,MACEO,ASOCIACIÓN PARA LA COMUNICACIÓN MACEITA - ACOMA,MACEO ESTEREO,53414,HKA92,107.4 MHz,FM,COMUNITARIA
ANTIOQUIA,ENVIGADO,PARROQUÍA SANTA GERTRUDIS OBRA SOCIAL Y /O LICEO FRANCISCO RESTREPO MOLINA,MAGNA STEREO 97.6 FM,52725,HKA74,97.6 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN LUIS,ASOCIACIÓN COMUNITARIA PARA LA RECUPERACION DE LOS VALORES,MANANTIAL RADIO,52230,HKB37,88.4 MHz,FM,COMUNITARIA
ANTIOQUIA,MONTEBELLO,CORPORACIÓN LA VOZ DE TODOS,MILENIO ESTEREO,52222,HKA95,88.4 MHz,FM,COMUNITARIA
ANTIOQUIA,ALEJANDRÍA,JUNTA DE ACCIÓN COMUNAL CENTRAL URBANA,NARE STEREO,52865,HKA31,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,NECOCLÍ,ASOCIACIÓN COMUNITARIA ECOS DE NECOCLÍ ASENEC,NECOCLÍ STEREO 104.4 FM,52223,HKB20,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,REMEDIOS,CORPORACIÓN PARA LA CULTURA. LA COMUNICACIÓN Y EL DESARROLLO DEL NORDESTE ANTIOQUEÑO,NORDESTE STEREO,52226,HKB28,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,TITIRIBÍ,CORPORACIÓN LA VOZ DEL CAMPO DEL MUNICIPIO DE TITIRIBI,NUESTRA RADIO,52241,HKB55,98.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN ROQUE,JUNTA DE ACCIÓN COMUNAL CENTRAL. CORREGIMIENTO DE SAN JOSE DEL NUS,NUS STEREO,52232,HKB40,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,CAÑASGORDAS,CORPORACIÓN PARA LA COMUNICACIÓN COMUNITARIA DE CAÑASGORDAS,OCCIDENTE STEREO,53217,HKA56,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,BURITICÁ,JUNTA DE ACCIÓN COMUNAL CENTRAL URBANA,ONDAS DE SAN ANTONIO,52204,HKA51,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,CORPORACIÓN TONUSCO,ONDAS DEL TONUSCO,52235,HKA38,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,ENTRERRIOS,CORPORACIÓN DE COMUNICACIÓNES PARA EL DESARROLLO DE ENTRERRIOS,PAISAJE ESTÉREO,52211,HKA73,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,ONG CORPORACIÓN JOSEFINA PARA LAS COMUNICACIÓNES,PARAÍSO STÉREO,53378,HKB45,105.4 MHz,FM,COMUNITARIA
ANTIOQUIA,GUATAPE,ASOCIACIÓN COMITE ETICO CULTURAL MUNICIPAL DE GUATAPE,PE?ON DE GUATAPE CULTURAL,52217,HKA83,97.6 MHz,FM,COMUNITARIA
ANTIOQUIA,SALGAR,SOCIEDAD DE MEJORAS PUBLICAS DE SALGAR,PLATEADO STEREO 89.4 F.M.,52228,HKB32,89.4 MHz,FM,COMUNITARIA
ANTIOQUIA,GÓMEZ PLATA,CORPORACIÓN DE COMUNICACIÓNES DE GOMEZ PLATA RADIO PRIMAVERAL - CORAPI,PRIMAVERAL STEREO,53146,HKA79,104.4 MHz,FM,COMUNITARIA
ANTIOQUIA,PUERTO BERRÍO,COOPERATIVA DE COMUNICACIÓNES,PUERTO BERRÍO STEREO 89.4 F.M,52728,HKB25,89.4 MHz,FM,COMUNITARIA
